fecha,valor
2024-01,0.7
2024-02,0.6
2024-03,0.4
2024-04,0.5
2024-05,0.3
2024-06,-0.1
2024-07,0.7
2024-08,0.3
2024-09,0.1
2024-10,1.0
2024-11,0.2
2024-12,-0.2
2025-01,1.1
2025-02,0.4
2025-03,0.5
2025-04,0.2
2025-05,0.2
2025-06,-0.4
2025-07,0.9
2025-07-01,0.9
2025-08,0.0
2025-08-01,0.0
2025-09,0.4
2025-09-01,0.4
2025-10,0.0
2025-10-01,0.0
2025-11,0.3
2025-11-01,0.3
2025-12,-0.2
2025-12-01,-0.2
2026-01,0.4
2026-01-01,0.4
2026-02,0.0
2026-02-01,0.0
2026-03,1.0
2026-03-01,1.0
2026-04,1.3
2026-04-01,1.3
2026-05,0.2
2026-05-01,0.2
2026-06,0.0
2026-06-01,0.0
